A,Phonetic Spelling,Arabic,English,Definition
,Abu Hanifa,أبو حنيفة,Abu Hanifa,Pre-eminent second/eighth century jurist (faqih) of Iraq after whom the Hanafi madhhab is named.
,Ahmad Bin Hanbal,أحمد بن حنبل,Ahmad bin Hanbal,Third/ninth century pre-eminent jurist (faqih) and hadith specialist after whom the Hanbali madhhab is named.
,Ajeer,أجير,Hired worker,A hired worker.
,Ajr,أجر,Fee,"Commission, fees or wages charged for servies rendered or work done."
,Al Ajr Al Mutaaref Alayh,الأجر المتعارف عليه,Prevailing rate,The price that is normally paid for a given service.
,Akl Al Batil,أكل الباطل,Unlawful acquisition of wealth,Qu’ranic term used to describe the process of acquiring wealth illegally such as theft and fraud.
,Ajeer Khas,أجير خاص,Private hired worker,"A hired worker contracted to perform a specific task in a specific amount of time by one party, such as a cook or a servant."
,Ajeer Mushtarak,أجير مشترك,Joint hired worker,"A worker, such as a tailor, who offers his services to many and thus may be contracted by several clients at once."
,Awraq Malyah Mutaathera,أوراق مالية متعثرة,Distressed securities,"Securities of companies or government entities that are either already in default, under bankruptcy protection, or in distress and heading toward such a condition."
,Al Shafi (Imam),الشافعي,Muhammad bin Idris al Shafi`i,Pre-eminent late third/ninth century jurist (faqih) after whom the Shafi`i madhhab is named.
,Amana,أمانة,Deposit in trust,"A widely applied term in fiqh that refers to anything in the safekeeping of another that must be guarded and preserved. One of two basic relationships toward property, entailing bearing the risk of its loss, the other being daman. Amana entails absence of liability for loss except in breach of duty. In some Islamic banks, current accounts are regarded as amana."
,Amin,أمين,Trustworthy/ Trustee,Safeguarder of others' entrusted property as if it were his own; not liable in case of any damage to the trust property without any negligence on his part.
,Amin Al Amm,الأمين العام,Trustee (of a general trust),"One who has been entrusted with the property of another for a reason other than safe-keeping (wadi`a), such as a tenant who rents an apartment or the mudarib in the mudaraba contract."
,Amlak,أملاك,Possessions,"Any valuable thing such as wealth, money and property that can be possessed."
,Amlak Shariya,أملاك شرعية,Legal assets,"Goods or assets the use of which is lawful under Islamic law, or wealth that has a commercial value. Legal tenders or rights to property that carry monetary value are also included. Certain items may have commercial value but are considered non- valuable for Muslims, such as wine and pork products."
,Al Arbah Qabl Khasm Al Fawaed Wa Ad Daraeb Wa Al Ihlak Wa Estihlak Ad Dayn,الأرباح قبل خصم الفوائد والضرائب و الإهلاك و إستهلاك الدين,"Earnings before interest, tax, depreciation and amortisation","Net income with interest, taxes, depreciation and amortisation added, which is used to analyse and compare profitability between companies and industries."
,Ardh,أرض,Land,Land.
,Ashbah An Nuqud,أشباه النقود,Quasi money,Highly liquid assets that can be turned into cash.
,Ashom,أسهم,Shares,A unit of ownership interest in a corporation or financial assets.
,Asnaf Ribawiya,أصناف ربوية,Ribawi commodities,"The six substances sold by weight and measure (gold, silver, dates, wheat, salt and barley) that, when exchanged in kind, must be exchanged in equal measure and with immediate transfer of possession, to avoid riba in trade (see ‘riba al fadl’). If these conditions are not met, then the exchange is considered to be riba."
,(Al) Asshom (Al) Qiyadiya,الأسهم القيادية,Blue chips,"The stock of a company with a national reputation for quality, reliability and the ability to operate profitably in good times and bad."
,Ayah,آية,Verse,(Orig. ‘sign’) The term refers to a passage from the Holy Qu’ran.
,Adady,عددي,Countable items,"Things measured in individual units rather than by volume, weight or length."
,Adl,عدل,Justice,"A general term meaning justice, equity and fairness. In rahn transactions, the person agreed upon as the custodian of the collateral."
,Al‘aed Almatlub Ala Huquq Al Musahimeen,العائد المطلوب على حقوق المساهمين,Cost of equity,"The minimum rate of return a firm must offer shareholders to compensate for waiting for their returns, and for bearing some risk."
,Al‘aed Ala Al Usul,العائد على الأصول,Return on assets,An indicator of how profitable a company is relative to its total assets.
,Alaed Ala Huquq Al Musahimeen,العائد على حقوق المساهمين,Return on equity,A measure of the rate of return on the ownership interest (shareholders' equity) of the common stock owners.
,Ain,عين,Determinate property,Property that is not dayn; the commodities of material value in themselves. Plural: a’ayan.
,Alawa Seariya,علاوة سعرية,Premium or payment,The difference between the higher price paid for a fixed income security and the security's face amount at issue.
,Ameel,عميل,Agent,"One who performs a task and deserves compensation for that task, such as the mudarib in a mudaraba contract or a zakat collector."
,Aamel,عامل,Worker,"A worker, such as a tailor, who offers his services to many and thus may be contracted by several clients at once."
,Aof,عوف,Surplus wealth,A Qu’ranic term meaning surplus wealth.
,Aqar,عقار,Real estate,Immovable property such as land and buildings.
,Aqd,عقد,Contract,A central term in Islamic financial commercial jurisprudence that essentially means ‘contract’.
,Aqd Al Musaqa,عقد المسافة,Fruit farming partnership,"A type of partnership in which the owner of an orchard agrees to share a stipulated portion of the produce of the orchard's trees with a worker, in exchange for the latter's irrigation of the garden."
,Aqd Batil,عقد باطل,Void or invalid contract,"A contract most likely involving some illegal external attributes like the involvement of riba, gharar or qimar."
,Aqd Ghair Mulzim,عقد غير ملزم,Revocable contract,A contract which any party has the right to revoke without the consent of the other.
,Aqd Mawquf,عقد موقوف,Suspended Contract,"A contract, the effectiveness of which is suspended until the occurrence of a specified action or event."
,Aqd Muawadha,عقد مقاوضة,Commutative contract,"Bilateral exchange contract classification in Islamic fiqh muamalat, in which each of the contracting parties gives and receives an equivalent countervalue, such as a sale, purchase or lease contract. Antonym: non- commutative/tabaru'."
,Aqd Mubadala,عقد مبادلة,Swap contract,"A derivative contract in which counterparties exchange certain benefits of one party's financial instrument for those of the other party's financial instrument. These include contracts to exchange only the periodic interest (or coupon) payment from different types of bonds (interest rate swap). Specifically, the two counterparties agree to exchange one stream of cash flows against another stream. These streams are called the legs of the swap. The swap agreement defines the dates when the cash flows are to be paid and the way they are calculated. Usually at the time when the contract is initiated at least one of these series of cash flows is determined by a random or uncertain variable such as an interest rate."
,Aqd Mulzim,عقد ملزم,Irrevocable contract,A contract which neither party can revoke without the consent of the other.
,Arboun,عربون,Earnest money/ Down payment,"A contract of sale, including the sale of usufruct, by means of an advance payment which is accounted as a part of the purchase price if the buyer decides to complete the sale, or which becomes the property of the seller if the sale is not completed. As such, an `arboun is a contract of sale in which the seller is compensated for honouring the obligation to cancel the sale if the buyer chooses to do so. The term `arboun is also used to denote the advance payment itself."
,Ardh,عرض,Offer,Offer in a contract.
,Ariyat Al Aayan,عارية الأعيان,Gratuitous loan of objects,"Loan of a particular piece of property without anything taken in exchange. In other words, it is the gift of usufruct of a property or commodity that is not consumed on use."
,Ariyat Al Manafe,عارية المنافع,Gratuitous loan of usufruct,"A term referring to palm trees that have been set aside by their owners, for a fixed period of time such as a year, for the needy to feed themselves with its fruit. This practice is mentioned in the hadith as an exception to the Prophetic prohibition of the muzabanah sale. While the people of Madina were forbidden from selling fruit on the tree for dried fruit – ostensibly because of the gharar inherent in such a transaction – the Prophet Muhammad (pbuh) provided a dispensation in the case of `araya, allowing the poor who possessed dried dates to sell them to tree owners for access to the fruit on certain fruit trees for a year."
B,Phonetic Spelling,Arabic,English,Definition
,Bay Al Ajil Bil Ajil,بيع العاجل بالأجل,Sale with delayed delivery or payment,"A type of sale in which the sale price is paid immediately and delivery of the sale item is delayed, or one in which the sale price is deferred and the sale item is delivered immediately."
,Bayas Salaf,بيع السلف,Prepaid sale,"Another name for salam, where the price of the commodity is paid in advance while the commodity or the counter value is supplied in future; thus the contract creates a liability for the seller. Amount given as salaf cannot be called back, unlike qard, before it is due."
,Bay As Salam,بيع السلم,Deferred delivery sale,The sale of fungible goods to be delivered in the future for a price to be paid in the present.
,Bay As Sarf,بيع الصرف,Exchange of currency,"Sale of gold, silver or monetary units on both sides."
,BayAtan Fi Baya,بيعتان في بيعة,Two sales in one,A type of transaction that was explicitly prohibited by the Prophet Muhammad (pbuh). The meaning of the expression “two sales in one” is explained by the fuqaha' in various ways.
,Bay At Tawliya,بيع التولية,Sale at cost price,Sale at cost price to facilitate or serve others.
,Bay Al Arbun,بيع العربون,Sale with a non- refundable down payment,"A sale of down payment with the condition that if the buyer takes the commodity, the down payment will become part of the selling price, and if he does not purchase the commodity, the advance money will be forfeited."
,Bay Al Ghaeb,بيع الغائب,Secret/Absent sale,Sale of absent or concealed goods.
,Bay Al Khiyar,بيع الخيار,Sale with option,Sale with an option of one party to rescind the contract within a specified time.
,Bay Al Hasah,بيع الحصاة,Pebble sale,"A type of sale practiced by the Arabs in the Jahiliyyah and prohibited by the Messenger of Allah in which the sale was determined by the casting of pebbles. Classical commentators mention three forms of the husah sale: 1) the seller would say to the would-be purchaser, ""when I throw the pebbles in my hand, then the deal is closed and binding on you,"" 2) the seller would say to the would-be purchaser, ""I shall sell you the commodity which your pebbles hit"" or 3) in a land sale, the seller would say, ""I shall sell you the plot of land whose dimensions are defined by the extent to which you throw this pebble"". The husah sale – like the habal al habalah sale was ostensibly prohibited because of the gharar that characterised the contract that governed it."
,Bay Al Ina,بيع العينة,Sale of appearances,"A sale in which a purchaser buys merchandise from a seller for a stipulated price on a deferred payment basis and then sells the same merchandise back to the original seller for a price lower than the original purchase price on cash basis, the net effect of which is a loan with interest. This practice is allowed in Malaysia but considered an illegal stratagem/trick (hiyal) in all other jurisdictions."
,Bay Al Istijrar,بيع الاستجرار,Master supply sale contract,See ‘istijrar’. Purchasing goods from time to time in different quantities.
,Bay Al Kali Bil Kali,بيع الكالئ بالكالئ,Forward sale/ The exchange of a delayed counter value for another delayed counter value,"The term ‘kali' refers to something delayed. A type of sale that the Prophet Muhammad (pbuh) is reported to have prohibited. In the context of Islamic law, this refers to an important maxim agreed upon as ijma, which forbids the exchange of a delayed counter value for another delayed counter value, i.e. sales in which both legs of the transaction are deferred."
,Bay Al Khuluw,بيع الخلو,Sale of concession/Sale of right,"(Lit. evacuating) Right/concession to utilise property for a set price and a period of time in addition to rent paid in a leasing contract. For instance, right to utilise furniture in a leased building for 10 years or right to lease property for 100 years."
,Al Bay Al Muallaq,البيع المعلق,Suspended sale,"A sale transaction, the effectiveness of which is related to any future condition or action."
,Bay Al Murabaha,بيع المرابحة,Mark-up/Cost plus sale,"Sale at cost price plus a mutually agreed profit – bargaining on the profit margin on the cost price (a type of trust sale or bay' al amanah). Originally a term describing any sale in which the seller sells his merchandise for more than the price at which he acquired it, the term ‘murabaha’ is now used in contemporary Islamic finance to describe a financing scheme in which a financial institution, usually a bank, agrees to purchase merchandise for a client provided that the client promises to purchase it from the financial institution at an agreed upon mark-up. This transaction, called simply murabaha or murabaha financing, is widely used in contemporary Islamic finance."
,Bay Al Musawama,بيع المساومة,Negotiated sale,Sale without any reference to the cost price to the seller – bargaining on price. A simple sale in which the price of the commodity to be traded is negotiated by the seller and the buyer without any reference to the price paid or cost incurred by the former.
,Bay Al Wadhia,بيع الوضيعة,Discount sale,Sale with loss – at a price less than cost price. Any sale in which the seller sells his merchandise for less than the price at which he acquired it. The purchaser is informed about the discount and the original acquisition cost (one type of trust sale/bay’ al amanah).
,Bay Al Wafa,بيع الوفاء,Repurchase option,See ‘(bay' bil) wafa’.
,Bayt Al Mal,بيت المال,Treasury of the Muslim community,"An institution developed by the early Caliphs for the administration of taxes in Islamic states and the provision of support for the needy. Although now obsolete, modern Islamic economists deem the institutional framework appropriate for contemporary Islamic societies."
,Bay Bi Thaman Ajil,بيع بثمن أجل,Deferred payment sale,"A transaction in which goods are requested by a client, purchased by the bank and then sold to the client at an agreed upon price that includes the bank's mark-up. Often the client is offered the option of paying in instalments. This is essentially identical to the murabaha financing used throughout the Islamic banking sector."
,Bay Bil Wafa,بيع بالوفاء,Redemption sale,Sale with the right of the seller to repurchase the property by refunding the purchase price. Most legal schools hold such a sale to be impermissible as the intention of the seller is not to relinquish ownership but rather to use the alleged sale as a means to monetise an asset through collusion with the buyer.
,Bay Muajjal,بيع مؤجل,Deferred payment sale,A sale in which payment is delayed and delivery of the contracted goods is immediate. This financing technique has been adopted by Islamic banks and combined with the murabaha contract to form murabaha muajjal. This contract allows the seller to earn a profit margin on his purchase price and allows the buyer to pay the price of the commodity at a future date in a lump sum or in instalments. The seller has to expressly mention the cost of the commodity and the margin of profit is mutually agreed. The price fixed for the commodity in such a transaction can be the same as the spot price or higher or lower than the spot price.
,Bramej Al Wala,برامج الولاء,Loyalty programmes,Structured marketing efforts that reward loyal buying behaviour.
D,Phonetic Spelling,Arabic,English,Definition
,Daf Muqaddam,دفع مقدم,Advance payment,Present payment for deferred delivery.
,Daeef,ضعيف,Weak,Used to describe a hadith whose transmission is defective so that its authenticity is in question.
,Daman,ضمان,"Contract of guarantee, security or collateral","Responsibility for financial coverage in the case of destruction or damage. One of two basic relationships toward property, entailing bearing the risk of its loss; with the other being amana."
,Daman Al Iktitab,ضمان الاكتتاب,Underwrite,Practice used to assess the eligibility of a customer to receive a financial services provider’s products.
,Dayn,دين,Debt,"A fiduciary obligation that comes into existence as a result of a contract or credit transaction incurred by way of rent, sale or purchase."
,Bay Aldayn,بيع الدين,Sale of debt or receivables,"The transfer of debt for cash or another commodity at its par value (hawalat al haqq/right transfer). See entry for ‘dayn’. With the exception of Malaysian Shafi'i scholars, the majority of scholars agree that debt cannot be sold."
,Dhimma,ذمة,Liability,"A basic term in fiqh al mu`amalat that roughly corresponds to the concept of liability. A debt is said to be ‘established in someone's dhimmah’ if he is in debt to someone else. The concept of dhimmah may be likened to a personal ledger book that is constantly being filled with rights and obligations, such as the obligation to repay someone."
,Dhulm,ظلم,Injustice,Usurping others’ rights; not giving proper recompense in an exchange by way of any illegal act or coercion.
,Dinar,دينار,Dinar,A gold coin used by Muslims throughout Islamic history. The standard mass of the dinar that is referred to in fiqh is one mithqal (approximately 4.25g).
,Dirasat Al Jadwa Al Iqtisadiya,دراسة الجدوى الافتراضية,Feasibility study,A comprehensive analysis of a project's economics used by the banking industry for financing purposes.
,Diya,دية,Compensation,The compensation paid by one who commits manslaughter or unintentional homicide to the relatives of the deceased.
F,Phonetic Spelling,Arabic,English,Definition
,Faqih,فقيه,Muslim jurist,A Muslim who is an expert in fiqh; a Muslim who is knowledgeable of the rules of the Shari’a and knows how these rules are related to the source texts upon which they are based.
,Faqir,فقير,Destitute,"One who lacks the means to support himself, who has neither the wealth nor the skills required to do so."
,Fardh,فرض,Obligatory,"Compulsory or obligatory religious duty, the denial or omission of which is considered a sin."
,Fardh Kifaya,فرض كفاية,Collective obligation,"A duty or obligation that extends collectively to the Muslim community, but not to specific individuals. If no one carries out this obligation, then it is the collective responsibility of the entire communityto appoint individuals to perform such services. In the case of Islamic law and finance, it is the obligation of Shari’a scholars to perform the duty on behalf of the community."
,Fasid,فاسد,"Unsound, foul, not viable",An impermissible term in a contract that renders the contract invalid.
,Faskh,فسخ,Dissolution of a contract,"A term used by the classical fuqaha to refer to the dissolution of a contract or agreement. It has been described as the cancellation of a contract, such that affairs return to the state in which they were before the closing of the contract, without any addition or subtraction. Many of the classical fuqaha' apply the term to instances in which a previously valid (sahih) contract is cancelled voluntarily by the contractual parties, such as in iqalah, khiyar al`ayb (option to return in case of a defect) and khiyar al shart (stipulated option of return), and use the term infisakh for cancellations that occur outside of the will of each of the contractual parties – such as the cancellation of a sale contract when the sale item is destroyed, before the seller can hand it over to the purchaser or the dissolution of certain partnerships upon the death of one of the participating parties."
,Fatwa,فتوى,Religious opinion concerning Islamic law,A formal response issued by an expert faqih.
,Fiqh,فقه,Islamic jurisprudence,"The practical jurisprudence/science of the Shari’a or human articulations of divine rules encompassing law and ethics. Fiqh completes the Shari’a since it provides supplemental legal reasoning, where direct rules are not available in the Shari’a."
,Fiqh Al Muamalat,فقه  المعاملات,Transactional jurisprudence,Islamic discipline concerned with the jurisprudence of financial transactions.
,Fuduli,فضولي,Uncommissioned agent,"Agent is described as ‘fuduli’ whenever it transacts (e. g. sells, rents, etc.) with someone else’s property without the permission of the owner through a formal agreement of agency. For example, if a person were to negotiate and “close” a deal with a buyer in which he sold some machinery without the owner of the machinery having made him his wakeel (authorized representative) the ‘seller’ would be described as fuduli."
,Fuquha,فقهاء,Jurists,Qualified specialists in fiqh or Islamic jurisprudence.
G,Phonetic Spelling,Arabic,English,Definition
,Ghubn,غبن,Deception,Price deception (where the sale price is much greater than the market price and the buyer is reliant on the honesty of the seller). This may lead to cancellation of contract.
,Aqd Ghair Mulzim,عقد غير ملزم,Non-binding contract,A non-binding contract which any party has the right to revoke without the consent of the other.
,Gharar,غرر,Contractual ambiguity,"An element of ambiguity or ignorance either through ignorance of an essential element of the goods, the price, or through faulty description of the goods, in which one or both parties stand to be deceived."
,Gharim,غارم,A debtor (who does not possess the funds to pay his debt),"One whose funds, after repayment of a debt, would not equal the nisab, according to the Hanifi jurists. The Shafi`i and Maliki jurists divide the gharimun into two types: those who incurred debts for their own benefit and those who incurred debts for the benefit of others. The gharimun are one of the eight groups mentioned in the Qu’ran as legitimate recipients of zakat funds."
,Ghasb,غصب,Wrongful seizure of property,The wrongful appropriation of property by force.
,Ghasib,غاصب,Usurper,Usurper of property of others.
,Al Ghunm,الغُنم,Gain may be realised only when there is a risk of loss,This Shari’a maxim provides the rationale behind the principle that earning profit can only be legitimised by engaging in a risk sharing economic venture and thereby contributing to the economy. See also ‘al kharaj bil daman’.
H,Phonetic Spelling,Arabic,English,Definition
,Hamil Hisab Istithmar,حامل حساب الاستثمار,Investment account holder,"An investor who places funds with an Islamic bank for investment purposes on a profit and loss sharing mudaraba basis. An Islamic investment account offers no capital guarantee and no returns/distribution guarantee. Returns are derived from the profit earned on the investment less management/ mudarib fees, profit equalisation reserve (PER) and investment risk reserve (IRR) extractions. Funds can be placed at different maturities with the returns varying based on tenure. IAHs can be classified into restricted (RIAH or R-PSIA) and unrestricted types (UIAH or U-PSIA)."
,Habal Al Habala,حبل الحبلة,Uncertain outcome agreement,"A type of sale practised by the Arabs during the Jahiliyyah, in which the agreement between the two transacting parties depended on a pregnant she- camel giving birth to a female calf that would subsequently become pregnant itself. The habal al habala transaction was prohibited by the Prophet, according to several well-known reports, ostensibly because of the extreme uncertainty (see ‘gharar’) in the essence of the contract, given that neither of the contractual parties could be even remotely certain that a pregnant she-camel would successfully give birth to a another she-camel, which would subsequently mature and become pregnant itself."
,Hadith,حديث,Report of the sayings or actions of the Prophet Muhammad (pbuh) or his companions,"A report of an utterance, deed, affirmation or characteristic of the Prophet Muhammad (pbuh). The ahadith are the source texts by which the Sunnah is preserved. Plural: ahadith."
,Al Hajz Ala Al Ruhunat Al Aqariya,الحجز على الرهونات العقارية,Foreclosure,The legal process by which a mortgagee obtains a court ordered termination of a mortgagor's equitable right of redemption.
,Halal,حلال,Lawful,A deed permitted by Allah. Antonym: haram.
,Hamish Jiddiya,هامش جدية,Security deposit,"Collateral given for the promise to purchase. If the buyer does not proceed to purchase, the seller can demand compensation for the actual damage. If the collateral is higher, the buyer receives an amount back; if the actual damage is higher, the the seller can demand additional compensation above the collateral."
,Haqq Ash Shufa,حق الشفعة,Right ofpre-emption or right of first refusal,"The right of pre-emption in sales transactions; for example, in a real estate sale, a neighbour will have the right of first refusal; in some cases, the neighbour will have the right to force the seller to sell him all or part of the real estate in the event of a sale."
,Haqq,حق,Fiscal right,"A term signifying a right that a party possesses, for example the creditor’s right to payment."
,Haqq Maliy,حق مالي,Fiscal right,"Rights relating to financial assets/wealth, such as haqq dayn (debt rights) and haq tamalluk (ownership rights)."
,Haqq Tamalluk,حق تملك,Right of ownership,A tradable asset in the form of ownership rights.
,Haram,حرام,Unlawful,"Impermissible, unlawful. Antonym: halal."
,Hawala,حوالة,Debt transfer,"An agreement whereby a debtor is freed from the obligation to repay a debt by a third party becoming responsible for it, or the transfer of the claim of a debt shifting from one person to another. The jurists of the Hanafi madhhab divide hawala into two categories: unrestricted (mutlaqa) and restricted (muqayyada), in which the final payment must come from the funds of the original debtor, whether from some debt that someone owes him or some funds that are in the possession of the party to which he refers them."
,Hawl,حول,Lunar year,"A term used by jurists to describe the amount of time that must pass before a Muslim in possession of funds equalling or exceeding the exemption limit (nisab) must pay zakat on his wealth. In the case of cash, gold and silver, it is one Islamic year (i.e. a lunar year of approximately 354 days)."
,Hiba,هبة,Gift,A gift donated without expectation of a return or benefit.
